name,wd,reg,lamb,celoss,job_id,lamb_wd,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet20-reg:3,lamb:0.001",0.5,3,0.001,1,43253683_0,True,True,cifar10_resnet20,2.302619457244873,0.0001075399195542,-5.038455128669739e-07,0.0032658129930496,0.0010000000474974,2.30261858586575,0,0.0032658129930496,0.0971999999998056,0.4957999999990084,5.810684342577588e-06,2.302584171295166,0.0001073450112016,4.146713763475418e-07,0.000219739973545,0.0010000000474974,2.302584367588735,0,0.000219739973545,0.1003111111110888,0.5004666666665555,5.772470103693195e-06
"resnet20-reg:3,lamb:0.01",0.05,3,0.01,1,43253683_1,True,True,cifar10_resnet20,2.302739381790161,0.0011048283195123,9.257346391677856e-07,0.0044483393430709,0.0099999997764825,2.3027489769865954,0,0.0044483393430709,0.1053999999997892,0.4921999999990156,6.262399983825162e-05,2.3026022911071777,0.0010940645588561,5.103647708892822e-07,0.0015089288353919,0.0099999997764825,2.3026023329705296,0,0.0015089288353919,0.0993999999999779,0.5008666666665554,6.147097155917436e-05
"resnet20-reg:3,lamb:0.5",0.001,3,0.5,1,43253683_3,True,True,cifar10_resnet20,0.2772647738456726,0.2748880684375763,0.0468307435512542,0.012409258633852,0.5,0.2755192852132783,0,0.099759429693222,0.903999999998192,0.9975999999980047,0.6001095771789551,0.1557452976703643,0.1523408442735672,0.0156825929880142,0.0360422693192958,0.5,0.1556675321418735,0,0.1384701132774353,0.9523111111108996,0.9993777777775558,0.1676328182220459
"resnet20-reg:3,lamb:0.1",0.005,3,0.1,1,43253683_2,True,True,cifar10_resnet20,0.8561710715293884,0.3644465208053589,0.0041208639740943,0.0341864861547946,0.1000000014901161,0.8545993711251676,0,0.1213952451944351,0.6875999999986249,0.9791999999980416,0.8663818836212158,0.89693683385849,0.3482212126255035,0.0036617666482925,0.0760512351989746,0.1000000014901161,0.8967636335470284,0,0.1184498071670532,0.6861777777776253,0.9767333333331164,0.7626583576202393
"resnet20-reg:3,lamb:1.0",0.0005,3,1.0,1,43253683_4,True,True,cifar10_resnet20,0.262960284948349,0.2629398703575134,0.1550215184688568,0.0286331512033939,1.0,0.2604496514985078,0,0.4071792662143707,0.9161999999981676,0.9971999999980056,0.8478471636772156,0.071444883942604,0.071387879550457,0.0199073702096939,0.0235425420105457,1.0,0.0714161193211709,0,0.1842464506626129,0.9801333333331156,0.9999111111108888,0.062691181898117
"resnet20-reg:3,lamb:2.0",0.00025,3,2.0,1,43253683_5,True,True,cifar10_resnet20,0.3102570176124573,0.3102649748325348,0.490397572517395,0.0432251915335655,2.0,0.3093229009154565,0,0.2750769555568695,0.9141999999981716,0.9967999999980064,1.325871825218201,0.0376911535859108,0.037695787847042,0.0270386487245559,0.0161115303635597,2.0,0.0376796934795746,0,0.3706247508525848,0.990711111110891,0.9999999999997778,0.0266141593456268
"resnet20-reg:4,lamb:0.001",0.5,4,0.001,1,43253683_6,True,True,cifar10_resnet20,2.302605390548706,2.843016045517288e-05,4.358589649200441e-07,0.0048976838588714,0.0010000000474974,2.3026055443694795,0,0.0048976838588714,0.0951999999998096,0.4867999999990264,4.0737779727351153e-07,2.3025832176208496,2.854066406143829e-05,4.135072231292725e-07,0.0004356727004051,0.0010000000474974,2.302582993972603,0,0.0004356727004051,0.100533333333311,0.5014666666665553,4.053029556416732e-07
"resnet32-reg:3,lamb:0.001",0.5,3,0.001,1,43253683_0,True,True,cifar10_resnet32,2.302588939666748,6.148101965663955e-05,4.190951585769654e-07,0.0027969032526016,0.0010000000474974,2.3025884497573665,0,0.0027969032526016,0.0973999999998052,0.4993999999990012,1.8761966202873737e-06,2.302586078643799,6.154558650450781e-05,4.163011908531189e-07,0.0001384019851684,0.0010000000474974,2.302585990460654,0,0.0001384019851684,0.1002888888888666,0.5000666666665555,1.8825155621016163e-06
"resnet32-reg:3,lamb:0.01",0.05,3,0.01,1,43253683_1,True,True,cifar10_resnet32,2.302579164505005,0.0007576199714094,2.793967723846436e-07,0.0045762211084365,0.0099999997764825,2.3025774228980884,0,0.0045762211084365,0.1053999999997892,0.5003999999989992,2.913862408604473e-05,2.3026018142700195,0.0007536314078606,5.066394805908203e-07,0.0014056339859962,0.0099999997764825,2.302602521267021,0,0.0014056339859962,0.0993999999999779,0.4999555555554444,2.8850927265011705e-05
"resnet20-reg:4,lamb:0.01",0.05,4,0.01,1,43253683_7,True,True,cifar10_resnet20,2.302662134170532,0.0003286819264758,1.527369022369385e-07,0.0051648989319801,0.0099999997764825,2.302662669461004,0,0.0051648989319801,0.0951999999998096,0.4867999999990264,5.467632945510559e-06,2.302579402923584,0.0003273401234764,2.868473529815674e-07,0.0001662224531173,0.0099999997764825,2.3025796371473817,0,0.0001662224531173,0.100533333333311,0.5014666666665553,5.425789368018741e-06
