name,wd,reg,lamb,celoss,job_id,lamb_wd,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet20-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_resnet20,0.2110847532749176,0.1993407607078552,0.0029714982956647873,0.021008476614952087,0.10000000149011612,0.21015604090613624,0,0.2079162895679474,0.9351999999981296,0.9973999999980052,0.6956290006637573,0.01759246736764908,0.014422873966395857,2.2605876438319683e-05,0.01476730778813362,0.10000000149011612,0.0175931626783255,0,0.7106158137321472,0.9992666666664448,0.9999999999997778,0.004490751773118973
"resnet32-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_resnet32,0.20012196898460388,0.1928626447916031,0.0030596815049648285,0.02502989023923874,0.10000000149011612,0.20113705386595368,0,0.27175843715667725,0.938999999998122,0.9985999999980028,0.7244232296943665,0.007369546219706535,0.005729575175791979,4.532746970653534e-06,0.006845956668257713,0.10000000149011612,0.007367153004694983,0,0.6615943908691406,0.9999555555553334,0.9999999999997778,0.0008002312388271093
"resnet44-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_resnet44,0.19229038059711456,0.18697792291641235,0.002996547147631645,0.02452758327126503,0.10000000149011612,0.1915028854247068,0,0.3934437930583954,0.9423999999981152,0.9971999999980056,0.7065249681472778,0.004922051914036274,0.003628753824159503,2.9702787287533283e-06,0.004502709489315748,0.10000000149011612,0.004922779054439912,0,0.5389012098312378,0.9999333333331112,0.9999777777775556,0.000600445200689137
"resnet56-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_resnet56,0.18444786965847015,0.1806333214044571,0.0030152909457683563,0.021612778306007385,0.10000000149011612,0.18292938275429468,0,0.2761792838573456,0.9497999999981004,0.9987999999980024,0.7166149020195007,0.0038710818625986576,0.0028580345679074526,1.8237624317407608e-06,0.003628192702308297,0.10000000149011612,0.0038698097458556304,0,0.5332188606262207,0.9999777777775556,0.9999999999997778,0.00025189819280058146
"vgg11_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_vgg11_bn,0.2537381649017334,0.247770294547081,0.004160286858677864,0.04201693460345268,0.10000000149011612,0.24939406203674855,0,0.35210222005844116,0.9273999999981452,0.9967999999980064,0.9729007482528688,0.003099257592111826,0.0021394933573901653,9.352806955575944e-07,0.002898016246035695,0.10000000149011612,0.0030997169820090003,0,0.335990309715271,0.9999777777775556,0.9999999999997778,0.00012515438720583916
"vgg13_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_vgg13_bn,0.18658661842346191,0.1841081827878952,0.0031605008989572525,0.02737482637166977,0.10000000149011612,0.1863951093516591,0,0.2654140591621399,0.9475999999981048,0.9985999999980028,0.7478979825973511,0.0024021929129958153,0.0016496191965416074,8.470378816127777e-07,0.0022433572448790073,0.10000000149011612,0.0024025004993372943,0,0.5468097925186157,0.9999999999997778,0.9999999999997778,7.079327770043164e-05
"vgg16_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_vgg16_bn,0.1968960464000702,0.19506074488162992,0.0034971684217453003,0.03075197152793407,0.10000000149011612,0.19833391745902623,0,0.3010958433151245,0.9467999999981064,0.9987999999980024,0.830194890499115,0.002260833978652954,0.0015521011082455516,4.830973921343684e-06,0.0018786824075505135,0.10000000149011612,0.0022610680348362708,0,0.45069387555122375,0.9999333333331112,0.9999555555553334,0.0009284710977226496
"vgg19_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_vgg19_bn,0.19324001669883728,0.19123893976211548,0.0033861957490444183,0.02869984693825245,0.10000000149011612,0.1918378851348607,0,0.282124400138855,0.9473999999981052,0.9977999999980044,0.80530846118927,0.002490911167114973,0.0018144306959584355,4.9505033530294895e-06,0.001989369047805667,0.10000000149011612,0.002490115128924597,0,0.4056176245212555,0.9998444444442224,0.9999777777775556,0.0009330345783382654
"repvgg_a0-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_repvgg_a0,0.1804083436727524,0.1778850257396698,0.003018556162714958,0.02599547803401947,0.10000000149011612,0.1833842388368643,0,0.23552072048187256,0.9483999999981032,0.9987999999980024,0.7116040587425232,0.0021715867333114147,0.001284975209273398,6.745976861566305e-07,0.002001713262870908,0.10000000149011612,0.002171298703161226,0,0.4383611679077149,0.9999999999997778,0.9999999999997778,3.426498005865142e-05
"repvgg_a1-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_repvgg_a1,0.17005065083503723,0.16807986795902252,0.0029421839863061905,0.023562589660286903,0.10000000149011612,0.1720396037284629,0,0.3495476245880127,0.9541999999980916,0.9985999999980028,0.6997991800308228,0.0018408179748803375,0.0010123964166268706,9.763462003320456e-07,0.001663199858739972,0.10000000149011612,0.0018405879023814912,0,0.3510119318962097,0.9999999999997778,0.9999999999997778,2.3957694793352857e-05
"repvgg_a2-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_repvgg_a2,0.16099213063716888,0.159443661570549,0.002819299697875977,0.02199053019285202,0.10000000149011612,0.16277143500057303,0,0.2348942756652832,0.9553999999980892,0.998999999998002,0.6752352714538574,0.001453493256121874,0.0007019537151791155,3.908353392034769e-07,0.001267075538635254,0.10000000149011612,0.0014534808121674174,0,0.0012664198875427246,0.9999999999997778,0.9999999999997778,6.63808714307379e-06
"mobilenetv2_x0_5-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_mobilenetv2_x0_5,0.17937636375427246,0.17106589674949646,0.0023832079023122787,0.018313808366656303,0.10000000149011612,0.1774266718930982,0,0.2735521197319031,0.9421999999981155,0.9975999999980047,0.5515832901000977,0.011904088780283928,0.009479119442403316,1.3574841432273388e-05,0.010260766372084618,0.10000000149011612,0.011902663435385838,0,0.3641276955604553,0.999599999999778,0.9999999999997778,0.0026498001534491777
"mobilenetv2_x0_75-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_mobilenetv2_x0_75,0.17467054724693298,0.16911903023719788,0.0025315620005130768,0.02017264999449253,0.10000000149011612,0.1728021091848869,0,0.28171947598457336,0.9455999999981088,0.9977999999980044,0.5908305048942566,0.005742710083723068,0.004117417614907026,2.066371962428093e-06,0.005385883152484894,0.10000000149011612,0.005746820003303815,0,0.4087871313095093,0.9999555555553334,0.9999999999997778,0.0004019533807877451
"mobilenetv2_x1_0-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_mobilenetv2_x1_0,0.14711113274097443,0.14288495481014252,0.002052995376288891,0.016177745535969734,0.10000000149011612,0.14813542824282347,0,0.28386515378952026,0.9525999999980947,0.9983999999980032,0.4766842722892761,0.004475385881960392,0.003038266208022833,1.219043042510748e-06,0.0042202407494187355,0.10000000149011612,0.004478762698613306,0,0.6042833924293518,0.9999999999997778,0.9999999999997778,0.00023809261620044708
"mobilenetv2_x1_4-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_mobilenetv2_x1_4,0.145425945520401,0.14212054014205933,0.002044694498181343,0.01767197623848915,0.10000000149011612,0.14551276296552124,0,0.3847724795341492,0.9555999999980888,0.9985999999980028,0.47243690490722656,0.003243770683184266,0.0019824376795440912,1.0814692359417677e-06,0.003036532551050186,0.10000000149011612,0.0032446406811579517,0,0.6948279738426208,0.9999777777775556,0.9999999999997778,0.00013802514877170324
"shufflenetv2_x0_5-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_shufflenetv2_x0_5,0.2599702477455139,0.2339640706777573,0.003279551863670349,0.02605537325143814,0.10000000149011612,0.2574052749777274,0,0.2653786540031433,0.9135999999981728,0.9961999999980076,0.7546947598457336,0.04244539141654968,0.03477974981069565,0.0001103607937693596,0.024919643998146057,0.10000000149011612,0.04245843310514521,0,0.22910022735595703,0.9931111111108905,0.9999777777775556,0.023147890344262123
"shufflenetv2_x1_0-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_shufflenetv2_x1_0,0.1958920657634735,0.18878032267093656,0.0028636660426855087,0.02467278204858303,0.10000000149011612,0.1932154784875626,0,0.20807620882987976,0.9397999999981204,0.9977999999980044,0.6669330596923828,0.004838195629417896,0.0033053311053663492,1.2604286894202232e-06,0.004587172996252775,0.10000000149011612,0.0048398930968252775,0,0.44583815336227417,0.9999777777775556,0.9999999999997778,0.0002414584596408531
"shufflenetv2_x1_5-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_shufflenetv2_x1_5,0.17162898182868958,0.16668066382408142,0.0024353060871362686,0.02202816680073738,0.10000000149011612,0.1750529616195887,0,0.1982777714729309,0.9451999999981096,0.9985999999980028,0.5661001205444336,0.0029434477910399437,0.001732001081109047,6.131012924015522e-07,0.0027719868812710047,0.10000000149011612,0.0029452247265640383,0,0.30167412757873535,0.9999999999997778,0.9999999999997778,5.027250881539658e-05
"shufflenetv2_x2_0-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar10_shufflenetv2_x2_0,0.17023447155952454,0.16572296619415283,0.002590538933873177,0.018354058265686035,0.10000000149011612,0.16992031103817254,0,0.12862712144851685,0.9497999999981004,0.997999999998004,0.6098679304122925,0.002501053037121892,0.0013168960576876998,2.426677383482456e-07,0.0023240167647600174,0.10000000149011612,0.002501112224249172,0,0.696779191493988,0.9999777777775556,0.9999999999997778,5.721784691559151e-05
